TQ,DI
0.257534247,2
0.24109589,2
0.210958904,2
0.271232877,2
0.252054795,2
0.219178082,2
0.312328767,2
0.2,3
0.2,3
0.257534247,2
0.312328767,2
0.290410959,2
0.232876712,2
0.221917808,2
0.276712329,2
0.312328767,2
0.252054795,3
0.252054795,2
0.263013699,3
0.219178082,2
0.271232877,3
0.263013699,3
0.293150685,2
0.276712329,2
0.263013699,3
0.263013699,3
0.334246575,3
0.293150685,2
0.276712329,2
0.24109589,2
0.271232877,2
0.334246575,3
0.257534247,2
0.2,3
0.257534247,2
0.219178082,2
0.232876712,2
0.276712329,3
0.210958904,2
0.271232877,2
0.271232877,2
0.271232877,2
0.219178082,2
0.219178082,2
0.293150685,2
0.252054795,2
0.263013699,3
0.263013699,3
0.263013699,3
0.271232877,3
0.252054795,2
0.219178082,3
0.306849315,3
0.271232877,2
0.257534247,2
0.252054795,2
0.2,3
0.189041096,1
0.189041096,1
0.18630137,1
0.202739726,1
0.197260274,1
0.197260274,1
0.197260274,1
0.197260274,1
0.24109589,1
0.279452055,1
0.084931507,1
0.298630137,1
0.246575342,1
0.246575342,1
0.279452055,2
0.279452055,1
0.246575342,1
0.298630137,1
0.279452055,2
0.298630137,1
0.202739726,1
0.298630137,1
0.268493151,2
0.268493151,2
0.290410959,2
0.290410959,2
0.290410959,2
0.320547945,2
0.320547945,2
0.268493151,2
0.202739726,2
0.202739726,2
