TQ,DI
0.263013699,3
0.263013699,3
0.263013699,3
0.306849315,3
0.334246575,3
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,3
0.271232877,3
0.271232877,3
0.271232877,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.271232877,3
0.252054795,2
0.252054795,2
0.252054795,2
0.252054795,2
0.252054795,2
0.252054795,2
0.252054795,3
0.252054795,3
0.252054795,3
0.252054795,3
0.364383562,3
0.364383562,3
0.263013699,3
0.263013699,3
0.263013699,3
0.263013699,3
0.306849315,3
